player_name,mfl_player_id,year,position,positional_rank
Josh Palmer,15319,2021,WR,124
Amari Rodgers,15297,2021,WR,96
Kellen Mond,15243,2021,QB,50
Chuba Hubbard,15261,2021,RB,71
Rhamondre Stevenson,15259,2021,RB,79
Dyami Brown,15292,2021,WR,113
Kylin Hill,15265,2021,RB,109
Javian Hawkins,15268,2021,RB,80
Tylan Wallace,15285,2021,WR,126
Tutu Atwell,15301,2021,WR,128
Kyle Trask,15242,2021,QB,58
Hunter Long,15334,2021,TE,58
Tre McKitty,15333,2021,TE,79
Tamorrion Terry,15318,2021,WR,147
Elijah Mitchell,15263,2021,RB,104
Jacob Harris,15425,2021,WR,999
Khalil Herbert,15271,2021,RB,112
Tommy Tremble,15332,2021,TE,62
Brevin Jordan,15330,2021,TE,48
Gerrid Doaks,15488,2021,RB,125
Jermar Jefferson,15262,2021,RB,99
Jaret Patterson,15260,2021,RB,119
Davis Mills,15252,2021,QB,42
Trevor Lawrence,15237,2023,QB,8
Najee Harris,15254,2023,RB,12
Kyle Pitts,15329,2023,TE,5
Trey Lance,15240,2023,QB,28
Ja'Marr Chase,15281,2023,WR,2
Justin Fields,15238,2023,QB,6
Zach Wilson,15239,2023,QB,49
Javonte Williams,15256,2023,RB,28
Mac Jones,15241,2023,QB,27
Travis Etienne,15253,2023,RB,13
DeVonta Smith,15282,2023,WR,13
Jaylen Waddle,15284,2023,WR,11
Rondale Moore,15283,2023,WR,56
Trey Sermon,15257,2023,RB,117
Rashod Bateman,15293,2023,WR,43
Michael Carter,15258,2023,RB,57
Elijah Moore,15288,2023,WR,50
Terrace Marshall,15308,2023,WR,90
Pat Freiermuth,15331,2023,TE,9
Amon-Ra St Brown,15287,2023,WR,9
Kadarius Toney,15289,2023,WR,38
Nico Collins,15290,2023,WR,54
D'Wayne Eskridge,15302,2023,WR,160
Kenneth Gainwell,15255,2023,RB,49
Frank Darby,15304,2023,WR,999
Josh Palmer,15319,2023,WR,72
Amari Rodgers,15297,2023,WR,169
Kellen Mond,15243,2023,QB,999
Chuba Hubbard,15261,2023,RB,52
Rhamondre Stevenson,15259,2023,RB,10
Dyami Brown,15292,2023,WR,146
Kylin Hill,15265,2023,RB,999
Javian Hawkins,15268,2023,RB,999
Tylan Wallace,15285,2023,WR,171
Tutu Atwell,15301,2023,WR,122
Kyle Trask,15242,2023,QB,39
Hunter Long,15334,2023,TE,64
Tre McKitty,15333,2023,TE,70
Tamorrion Terry,15318,2023,WR,999
Elijah Mitchell,15263,2023,RB,40
Jacob Harris,15425,2023,WR,125
Khalil Herbert,15271,2023,RB,32
Tommy Tremble,15332,2023,TE,59
Brevin Jordan,15330,2023,TE,45
Gerrid Doaks,15488,2023,RB,999
Jermar Jefferson,15262,2023,RB,999
Jaret Patterson,15260,2023,RB,164
Davis Mills,15252,2023,QB,44
Trevor Lawrence,15237,2022,QB,19
Najee Harris,15254,2022,RB,6
Kyle Pitts,15329,2022,TE,3
Trey Lance,15240,2022,QB,14
Ja'Marr Chase,15281,2022,WR,3
Justin Fields,15238,2022,QB,17
Zach Wilson,15239,2022,QB,23
Javonte Williams,15256,2022,RB,12
Mac Jones,15241,2022,QB,22
Travis Etienne,15253,2022,RB,24
DeVonta Smith,15282,2022,WR,35
Jaylen Waddle,15284,2022,WR,14
Rondale Moore,15283,2022,WR,58
Trey Sermon,15257,2022,RB,61
Rashod Bateman,15293,2022,WR,33
Michael Carter,15258,2022,RB,36
Elijah Moore,15288,2022,WR,25
Terrace Marshall,15308,2022,WR,79
Pat Freiermuth,15331,2022,TE,11
Amon-Ra St Brown,15287,2022,WR,30
Kadarius Toney,15289,2022,WR,48
Nico Collins,15290,2022,WR,78
D'Wayne Eskridge,15302,2022,WR,116
Kenneth Gainwell,15255,2022,RB,49
Frank Darby,15304,2022,WR,999
Josh Palmer,15319,2022,WR,75
Amari Rodgers,15297,2022,WR,143
Kellen Mond,15243,2022,QB,56
Chuba Hubbard,15261,2022,RB,60
Rhamondre Stevenson,15259,2022,RB,38
Dyami Brown,15292,2022,WR,104
Kylin Hill,15265,2022,RB,999
Javian Hawkins,15268,2022,RB,999
Tylan Wallace,15285,2022,WR,141
Tutu Atwell,15301,2022,WR,154
Kyle Trask,15242,2022,QB,47
Hunter Long,15334,2022,TE,66
Tre McKitty,15333,2022,TE,68
Tamorrion Terry,15318,2022,WR,999
Elijah Mitchell,15263,2022,RB,23
Jacob Harris,15425,2022,WR,65
Khalil Herbert,15271,2022,RB,57
Tommy Tremble,15332,2022,TE,44
Brevin Jordan,15330,2022,TE,30
Gerrid Doaks,15488,2022,RB,999
Jermar Jefferson,15262,2022,RB,123
Jaret Patterson,15260,2022,RB,100
Davis Mills,15252,2022,QB,28
Drake London,15751,2023,WR,22
Kenneth Walker III,15711,2023,RB,14
Breece Hall,15708,2023,RB,11
Garrett Wilson,15753,2023,WR,10
Treylon Burks,15752,2023,WR,35
Kenny Pickett,15692,2023,QB,23
Jameson Williams,15756,2023,WR,48
Chris Olave,15754,2023,WR,14
James Cook,15715,2023,RB,31
George Pickens,15762,2023,WR,37
Christian Watson,15789,2023,WR,26
Skyy Moore,15766,2023,WR,62
Jahan Dotson,15755,2023,WR,36
Malik Willis,15694,2023,QB,50
Rachaad White,15721,2023,RB,24
Dameon Pierce,15717,2023,RB,22
Desmond Ridder,15697,2023,QB,31
Isaiah Spiller,15709,2023,RB,68
Tyler Allgeier,15712,2023,RB,41
David Bell,15758,2023,WR,108
Trey McBride,15794,2023,TE,20
Alec Pierce,15768,2023,WR,66
Tyquan Thornton,15787,2023,WR,80
Ty Chandler,15723,2023,RB,107
Matt Corral,15691,2023,QB,68
Hassan Haskins,15720,2023,RB,83
John Metchie,15759,2023,WR,75
Jelani Woods,15840,2023,TE,28
Zamir White,15714,2023,RB,61
Jalen Tolbert,15788,2023,WR,131
Brian Robinson,15716,2023,RB,30
Khalil Shakir,15761,2023,WR,94
Tyrion Davis-Price,15746,2023,RB,84
Sam Howell,15693,2023,QB,30
Wan'Dale Robinson,15757,2023,WR,69
Romeo Doubs,15779,2023,WR,64
Samori Toure,15841,2023,WR,155
Greg Dulcich,15797,2023,TE,14
Justyn Ross,15763,2023,WR,118
Tyler Badie,15718,2023,RB,131
Keaontay Ingram,15734,2023,RB,102
Cade Otton,15802,2023,TE,33
